Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
I_Suarez      33 spa 22  1  1  1 55 836 390 330 330   4   0  303   0  23   7   0   0   0   0   0   0   1   0
G_Vasis       19 gre 20  1  1  1 28 578 300 320 300   6   0  568   0  22  16   0   0   0   0   0   0   0   0
B_Roat        27 nir 18  1  1  1 13 379 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Pierre      26 swe  1 20  5  3 24 300  51 526  56   9   0  831   1   0   0  14   1   0   0   0   2   0   0
Q_Dahner      22 cam  1 19 10  4 47 300 421 805 389   9   0  852   0   0   0  13   6   2   0   0   6   0   0
T_Banzet      22 cam  1 18  4  4 32 300 452 323 430   3   0  285   0   0   0   6   1   0   0   0   2   0   0
L_Prychodnik  24 rus  1 18  3  6 15 300 430 298  95   1   0   96   0   0   0   1   0   0   0   0   0   0   0
I_Pfleiderer  28 rsa  1 18  9  4 47 300 767 544 308   5   1  398   0   0   0   3   0   1   0   0   0   0   0
C_Cao         20 jap  1 18  2  3  8 300 881 651 268   8   0  740   0   0   0   7   3   6   1   0   0   0   0
O_Hrebin      32 fra  1  1 23  1 52 300  75 250 923   7   0  663   0   0   0   0  10   0   0   1   0   0   0
B_Heiderich   20 ger  1  4 19  4  9 300 990 131 787   4   0  379   0   0   0   0   5   0   0   0   0   0   0
S_Duthe       21 mex  1  3 18  5 41 300 270  36 831   7   0  663   1   0   0   0  16   7   1   1   0   0   0
P_Delamarter  21 gre  1  4 18  2 27 300 779 544 661   8   0  759   1   0   0   2  16   3   0   1   0   0   0
O_Fundzak     23 uru  1  3 18  4 17 840 656 699 990   1   0   77   0   0   0   0   1   0   0   0   0   0   0
R_Dance       20 wal  1  4 18  9 25 390 360 176 443   7   5  351   0   0   0   0  13   6   1   1   2   0   0
Q_Lebuff      29 fra  1  6  4 19 20 300 791 305 806   7   1  632   0   0   0   0   0   6   2   0   0   0   0
C_Guilbeau    21 fra  1 10 12 19 19 300 644 786 126   8   0  758   0   0   0   0   3  17   2   0   0   0   0
P_Ruffus      24 cze  1  4  4 18 19 300 817 193  24   4   1  303   0   0   0   0   1   4   1   0   0   0   0
V_Doradzi     20 geo  1  3 14 18 28 300 282 949 673   8   0  767   0   0   0   1   4  13   1   0   0   0   0
S_Shotty      28 nzl  1  3  3 18 11 300 715 232 257   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Worker      22 gre  1 10  5 17 20 300 494 196 232   2   1   51   0   0   0   0   0   1   0   0   0   0   0
