Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Moreno      30 mex 29  1  1  1 29  90 480 300 300   6   0  568   0  27   8   0   0   0   0   0   0   0   0
E_Landis      23 gre 21  1  1  1 34 879 435 435 435   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Lafolle     23 den 21  1  1  1 25 153 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Fruechte    23 por 19  1  1  1 17 279 300 300 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Castillo    30 uru  7 27  6 12 16 300 456 698  35   6   0  568   0   0   0   4   2   2   0   0   2   0   0
H_Chyzowych   30 rus  9 25 10  5 48 300 267 146 299   5   0  415   0   0   0   3   5   0   0   0   4   0   0
G_Figueroa    28 arg  6 24 21 14 23 320 379 268 843   5   0  431   1   0   0   7   5   6   2   0   0   2   0
C_Batrawi     28 egy  3 23  9  3 16 300 655 112 914   5   0  416   1   0   0   8   4   1   0   1  10   0   0
G_Svendssen   26 swe  8 23 12  5 12 300 557 859 715   6   0  568   1   0   0   6   3   1   0   0   0   0   0
D_Salpigidis  26 gre  3 21 17  2 29 300 828 980 466   3   1  250   0   0   0   2   4   0   0   0   0   0   0
I_Taylo       24 spa  7 20 13  4 33 300 472 378 343   1   0   95   0   0   0   0   1   1   1   0   2   0   0
P_Trigoso     28 por  1  5 26  8 28 300  63 233 974   6   0  493   0   0   0   1  12   2   0   1   0   0   0
A_Laheist     32 den  1  5 23  9 23 300 789 683  11   1   1   75   0   0   0   0   3   0   0   2   0   0   0
J_Tziolis     33 GRE  1  4 23 10 43 390 904 407 248   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Norregaard  24 den  2 10 22  3 32 480 191 616 741   6   0  568   0   0   0   1  10   1   0   1   4   0   0
A_Arribaa     28 mex  1  2 22  9 25 300 582 970 882   6   0  568   0   0   0   0   6   7   0   1   0   0   0
O_Arao        33 kor  1  2 20 11 47 300 422 712 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Raffield    22 cze  1  5 20  3 13 300 573 284 875   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Ateba       30 cam  3  4  8 26 19 300 731 829 552   6   0  568   0   0   0   0   1  18   0   0   0   0   0
B_Fernandes   31 por  1  6 10 25 25 300 147 387 999   6   0  568   0   0   0   1   1  18   5   0   0   0   0
K_Arnez       29 spa  1 13 16 21 33 300 852  31 740   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Zikos       22 gre  1  6 10 21 20 300 261 333 386   1   1   42   0   0   0   1   0   0   0   0   0   0   0
