Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Rillotta    19 por 16  1  1  1 37 879 300 300 300   3   2  101   0   8   3   0   0   0   0   0   0   0   0
G_Rewton      18 ger 16  1  1  1 12 873 300 300 300   3   0  281   0  22   8   0   0   0   0   0   0   0   0
O_Sittenauer  18 rsa 15  1  1  1 17 575 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_DeVries     19 spa  1 17  8  5 10 264 881 281 681   2   1  100   0   0   0   0   3   0   0   0   0   0   0
M_Stonebridge 18 eng  1 16  4  4 12 300 869 299 777   1   0   97   0   0   0   3   0   0   0   0   0   0   0
F_Baggins     17 eng  1 16  6  2  9 300 916 109 172   4   0  379   0   0   0   6   2   3   0   0   0   0   0
L_Skywalker   18 usa  1 16  6 15 23 300 811  63 577   3   0  286   0   0   0   6   1   8   1   0   0   0   0
S_Gamgee      17 eng  1 16  1 13 15 300 258 767 807   3   0  285   0   0   0   7   0   4   0   0   2   0   0
D_Brenvor     16 ger  1 14 14  8 10 300 456 661 212   3   0  285   0   0   0   2   3   2   0   1   0   0   0
Leandro_Lima  19 bra  1  4 17  4 13 300 756 797 753   3   2  101   0   0   0   0   1   1   0   0   0   0   0
W_Constantino 17 gre  2  7 17  8 23 300 728 421 718   4   0  382   0   0   0   1  18   5   1   1   0   0   0
B_Klinzing    18 bel  1  2 16  8 49 300 450 898   1   1   0   97   0   0   0   0   4   2   0   0   0   0   0
L_Cokeley     18 cam  1  3 16  2 27 300 273 475 251   1   0   97   0   0   0   0   3   0   0   0   0   0   0
H_Potter      17 eng  1  2 15  5 44 300 804 970 765   1   0   92   0   0   0   0   1   1   0   0   0   0   0
O_Oren        17 nig  1  4 15  2 11 300 731 658  48   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Colmenero   17 mex  1  1 15  2 20 300 724 332 705   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Bob_Becks     17 uru  1  7 15  6 38 300 289 421 274   2   0  166   0   0   0   1   6   2   0   0  10   0   0
L_O'Connor    16 ire  1  5 14  4 42 300 292 413 316   3   0  282   0   0   0   0   5   0   0   0   4   0   0
S_Vikram      17 kor  1  2 14 10 20 300 583 749 954   2   0  189   0   0   0   0   3   2   1   0   2   0   0
Y_Skinner     18 nzl  1  3  6 16 12 300 251 416 966   4   0  382   0   0   0   0   2  13   0   0   0   0   0
N_Brody       18 usa  1  5  2 16  9 300 927 244 709   4   0  381   0   0   0   0   1  10   1   0   0   0   0
E_Scrubb      18 eng  1  1  1 15 16 300 849 796 595   1   1    1   0   0   0   0   0   0   0   0   0   0   0
