Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Keeper      21 fra 20  1  1  1 31  99 300 300 300   4   0  380   0  14   6   0   0   0   0   0   0   0   0
P_DelaCruz    21 bra 17  1  1  1 20 304 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Nacewa      20 nzl  1 19  7  5 34 300 535 560 896   4   0  380   0   0   0   1   0   1   0   0   0   0   0
E_Lufcy       21 geo  1 19  3  4 22 300  17 548 670   4   0  380   0   0   0   3   0   2   0   0   2   0   0
S_StLedger    19 eng  1 17  2  3 16 300 123 689 879   2   0  190   0   0   0   2   0   0   0   0   0   0   0
L_Riggers     17 arg  1 16  3  4 30 300  80 808  92   4   0  380   1   0   0   9   0   1   0   0   2   0   0
I_Dinnella    18 ita  1 15  4  5 11 300 685 756 968   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Lemann      18 aus  1 15  4  5 15 300 418 236  23   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Wetterskog  19 swe  1 15  5  6 25 300 407 587 516   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Pinfold     16 nig  1 14  1  7  9 300 387 694 264   2   0  190   0   0   0   1   0   2   0   0   0   0   0
Y_Goodliff    16 uru  1 13  2  5 50 300 405 273 283   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_McClean     20 ire  1  7 18  6 19 300 707 852 634   4   0  323   0   0   0   0   8   2   0   1   0   0   0
A_McGeady     19 sco  1  4 18  2 28 300 749  94 778   3   0  267   0   0   0   0   3   0   0   0   0   0   0
N_Kugi        21 cze  1  4 17  3 22 300 163 690 339   4   0  380   0   0   0   0   6   4   1   0   4   0   0
U_Szatko      21 cze  1  6 16  4 11 300  98 734 423   2   0  190   0   0   0   0   2   0   0   0   0   0   0
A_Mullinix    21 kor  1  4 16  4 71 300 650 545 374   2   1  113   0   0   0   0   3   0   0   1   0   0   0
P_Bonine      18 gre  1  1 15  9 37 300 853 603 869   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Rinderle    17 swe  1  3 15  4  8 300 221   4 220   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Sitlington  17 rus  1  8 14  8 53 300 870 535 489   2   0  190   0   0   0   1   5   0   0   0   0   0   0
S_Lhamon      16 bra  1  3 13  2 15 300 351 534 323   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Jargo       21 ita  1  3  8 19 14 300 298 745 254   4   0  380   1   0   0   1   4  15   2   1   0   0   0
J_Brown       21 ire  1  6  3 18 36 300  84 885 909   4   0  337   0   0   0   1   1  11   3   0   0   0   0
R_Strauss     21 nig  1  5  4 17  8 300 765 691 283   2   2   43   0   0   0   0   0   0   0   0   0   0   0
J_Walters     20 nig  1  8  4 17 24 300  81 999 433   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Long        20 fra  1 10  3 17 31 300 714 149 223   2   2   57   0   0   0   0   0   0   0   0   0   0   0
I_McInally    18 sco  1 10  6 15 52 300 330 281 916   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_McSurdy     18 nir  1  6  8 15 14 300 723 864 907   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Simonelli   18 arg  1  3  2 15 15 300 225 299 349   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Rillotta    17 bra  1  1  4 14 12 300 727 724 591   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Kirrane     18 uru  1  3  5 14 46 300 884 326 487   0   0    0   0   0   0   0   0   0   0   0   0   0   0
