Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Leema       20 rsa 20  1  1  1  9 636 300 300 300   8   0  766   0  50  12   0   0   0   0   0   0   0   0
U_Lewey       17 geo 14  1  1  1 10 672 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Anselmo     16 gre 14  1  1  1 33 194 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Leane       20 bel  1 18  2  2 18 300 581 668 706   8   0  766   1   0   0  10   1   1   0   0   0   0   0
X_Hughart     21 bel  1 17  9  8 13 300 394  68 141   3   0  288   1   0   0   3   2   0   0   0   0   0   0
O_Chimdonda   20 egy  1 17  3  9  8 300 576 334 453   1   0   95   0   0   0   0   0   0   0   0   0   0   0
K_Hepfer      19 geo  1 17  8  8  9 300 395  72 605   6   0  573   0   0   0  13   1   5   0   0   0   0   0
M_Cuta        21 ita  1 15  3  5  9 300 406 174 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Diethorn    17 jap  1 15  5  1 10 300 932 353 385   7   0  671   1   0   0   8   2   2   0   0   0   0   0
P_Cofell      17 egy  1 14  1  2 51 300 875 890 301   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Bogner      17 spa  1 14  5  5 16 300 834 104 309   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Dillaman    16 kor  1 14  3  3 17 300 429 912 404   7   0  671   0   0   0  11   2   1   1   0   0   0   0
C_Bastian     20 arg  1  3 18  3 41 300  97 619 355   1   0   21   0   0   0   0   1   0   0   0   0   2   0
U_Bergie      19 gre  1  4 17  3 27 300 523 960 421   8   0  766   1   0   0   1  12   2   0   2   0   0   0
S_Slicht      17 ger  1  2 17  5 56 300 535 130 124   8   0  766   1   0   0   1   9   3   2   3   4   0   0
E_Weisser     19 rus  1  4 17  5 28 300 456  71 446   1   1   74   0   0   0   1   2   0   0   0   0   0   0
D_Berthelot   20 cam  1  8 16  6 13 300 672 636 986   1   0   95   0   0   0   0   1   0   0   0   0   0   0
P_Amalong     18 geo  1  7 16  9 62 300 869 141 703   7   0  671   0   0   0   2   9   6   1   1   2   0   0
B_Yablonski   21 cze  1  7 15  6 57 300 161 733 458   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Fodor       18 egy  1  7 15  1 19 300 469 701 884   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Hedman      19 ire  1  2 15  2  8 300 926 652 899   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Jennrich    18 geo  1  9 14  2 16 300 631 680 487   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Angers      17 uru  1  4 14  2 34 300 377 710  88   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Meddick     16 nir  1  4 14  2  8 300 369 768 694   7   0  671   0   0   0   1  11   1   0   1   2   0   0
K_Kendejas    21 spa  1  5  4 18 11 300 813  84 859   8   0  766   0   0   0   0   0  16   3   0   0   0   0
W_Kiehn       20 nig  1  4  3 16 18 300  46 807 285   1   0   95   0   0   0   0   0   0   0   0   2   0   0
W_Blixt       18 geo  1  3  6 15 25 300 503 658 891   2   0  189   0   0   0   0   0   6   1   0   4   0   0
C_Mein        18 cam  1  3  1 15 31 300 985 846 836   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Puz         21 geo  1  3  3 15 31 300 423 489 583   0   0    0   0   0   0   0   0   0   0   0   0   0   0
