Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Quartemont  21 usa 21  1  1  1 21 724 300 300 300  19   0 1804   0  88  30   0   0   0   0   0   2   0   0
J_January     22 uru 20  1  1  1 39 922 300 300 300   8   0  760   0  44  14   0   0   0   0   0   0   0   0
Q_Sings       27 jap 17  1  1  1 50 599 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Kurucz      22 uru 17  1  1  1 40 521 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Raedavid    22 gre 16  1  1  1  8 206 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Handspiker  29 ger  8 26  7  4 34 300 356 628 627  20   0 1880   1   0   0  34  16   5   1   2   4   0   0
C_Hillary     22 sco  6 22  6  6 30 300 964 399 385  14   0 1327   0   0   0  20   5  10   1   0   6   0   0
W_Perri       28 arg  5 22  4  7 25 390 149 250 371  20   0 1896   0   0   0  28   2  16   1   0   4   0   0
P_Reher       21 swe  1 21  2  8 15 300 802 854 867  19   0 1781   1   0   0  25   4  16   0   0  12   0   0
M_Khurtsilava 24 geo  1 20  9 12 14 300 483 452 482   7   0  661   1   0   0   6   1   5   0   0   2   0   0
A_Muntz       24 geo  1 18  7  3 26 300 628 104 434   1   1   16   0   0   0   0   0   0   0   0   0   0   0
X_Meehan      26 ire  1 18  3  5 10 300 559 815 527   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Kaesheimer  23 geo  1 17  3  3  8 300 976 813 254   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Brill       30 bra  1  6 24 18 41 300 754 794 292  20   0 1896   3   0   0   8  49  22   5   5   8   0   0
G_Legowski    25 rus  1  1 24 12 20 300 454   5 793  19   0 1714   0   0   0   1  33  18   2   1  20   0   2
W_Gelashvili  24 geo  3  8 21 10 16 480 404 897 389  20   0 1364   0   0   0   6  22  16   0   3   0   0   0
S_Pessao      27 por  1  5 20  2 48 300 878 991 407  18  15  691   0   0   0   0  28   0   0   4   0   0   0
M_Crommus     24 nzl  1  5 20  3 11 300 600 663 631   5   5  251   0   0   0   1   7   1   0   2   0   0   0
P_Tunstall    22 sco  1  3 20  3 19 380  53 478 765  20   0 1775   0   0   0   2  36   2   1   2   0   0   0
B_Paichadze   24 geo  1  2 19  4 10 300 818 887 927   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Mahieu      23 uru  1  6 18  8 39 300 752 732 317   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Bunzn       21 rus  1  2  6 22 32 300 159 188 671  20   0 1807   0   0   0   0   4  64   7   0   0   0   0
I_Smolka      22 cze  1  2  2 21  9 300 837 867 544  20   2 1125   0   0   0   1   1  33   7   0   0   0   0
P_Kapetanos   30 gre  3  5  8 20 11 300 629 569 893  18  18  670   0   0   0   2   5  35   3   0   0   0   0
E_Grochowski  24 cro  1  4  3 19 11 300 725 856 811   0   0    0   0   0   0   0   0   0   0   0   0   0   0
