Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
L_Valdez      17 spa 19  1  1  1 20 422 300 300 300   7   0  663   0  27   4   0   0   0   0   0   0   0   0
D_Nevis       19 aus 17  1  1  1 26 566 300 300 300   1   1   30   0   0   0   0   0   0   0   0   0   0   0
J_Bier        20 ger  1 19 10  3 58 300 433 671 289  14   0 1275   1   0   0  17  12   0   0   1  12   0   0
V_Lefkanics   20 cro  1 17  5  9 23 300 646 587 525  15   0 1419   2   0   0  21   5  10   2   0   2   0   0
Y_Bond        18 nzl  1 17  7  7 70 300 623 915 956  12   0  921   1   0   0   7   6  10   4   1   4   0   0
H_Ullom       21 den  1 16  6  5 36 300 850  74 329  10   2  737   1   0   0   7   6   4   0   1   0   0   0
D_Bodker      18 cro  1 16  6  2 13 300 596 247  79  15   5 1073   0   0   0  13   8   1   0   0   0   0   0
Y_Wickings    17 wal  1 16  5  2 55 300 207 417  72   4   3  201   1   0   0   5   1   0   0   0   0   0   0
L_Ditmeyer    17 ger  1 16  3  5  8 300  91 382 276   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Ozbek       16 geo  1 15 11  8 55 300   4 103 701   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Thai        21 jap  1  8 19  4 25 300 547  62 500  15   0 1419   1   0   0   6  25   6   0   3   0   0   0
P_Kienle      20 swe  1  5 18  4 50 300 343 427 484  15   0 1419   0   0   0   2  18  10   1   1   2   0   0
S_Snay        18 rsa  1  8 18  7 56 300 365  46 788  15   0 1419   0   0   0   4  27   8   2   0   8   0   0
Ozzy_Canberra 18 aus  1  4 18  2 37 300 684 124 580  15   2 1332   0   0   0   1  28   4   0   1   2   0   0
L_Claybaugh   19 arg  1  4 17  3 38 300 408 684 161   5   0  365   0   0   0   1   9   1   0   1   2   0   0
R_Milosevic   18 cze  1  3 17 10 62 300 555 276 597  13   3 1017   0   0   0   1  19  11   1   4  14   0   1
K_Kalinic     17 rus  1  7 16  5 14 300 676 314 587   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Melser      17 rsa  1  9 16  3 47 300 485 199 190   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_D'Amico     17 uru  1  6 15  5 48 300 617 131 755   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Sieliet     20 bel  1  6 10 19 23 300  34 383   2  15   0 1344   0   0   0   2   8  52   3   0   0   0   0
M_Bebo        21 kor  1  5  4 16 12 300 448 660 807   5   0  477   0   0   0   2   0   6   0   0   0   0   0
T_Oliveau     21 fra  1  6  2 16 15 300 882 655 337   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Ringkamp    18 ger  1  3  2 16 52 300 808 681 177   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Balderrama  17 arg  1  6  4 16 40 300 559 912 210   6   4  332   1   0   0   0   1  10   3   0   2   0   0
