Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
F_Yoyo        32 jap 25  1  1  1 27 416 300 300 480   2   0  154   0  10   3   0   0   0   0   0   0   0   0
R_Begonja     31 KOR 20  1  1  1 12 105 300 300 360   4   1  320   0  10  13   0   0   0   0   0   0   0   0
Q_Schreder    22 nir 18  1  1  1 69 245 490 490 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Garay       28 arg  1 23  7  6 10 480 176 198 835   5   0  474   0   0   0   8   3   4   0   0   0   0   0
K_Asbrand     26 ger  1 19  4 11 14 515 754 462 997   5   0  474   1   0   0  12   0   7   1   0   0   0   0
P_Alba        22 sco  1 19  5  4 29 300 783 163 828   5   0  474   0   0   0   8   0   2   1   0   2   0   0
I_Mohammad    25 egy  1 19  3  6  9 480 186 190 668   4   0  287   0   0   0   5   0   0   0   0   0   0   0
A_Rand        23 rsa  1 19  4  3 39 300  42 109 987   1   1   94   0   0   0   0   2   0   0   0   0   0   0
I_Vantrojen   22 hol  1 18  9  5 16 390 352  19 584   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Samaras     28 gre  6  9 21  1 14 480 953  71 431   3   0  287   0   0   0   1  10   0   0   0   2   0   0
W_Galen       24 nir  1  3 20  5 17 300 155 210 132   3   0  287   0   0   0   0   9   0   0   2   0   0   0
G_Raffield    23 cze  1  5 20  3 13 300 613 482 875   5   0  474   0   0   0   2  13   0   0   2   0   0   0
I_Hummel      24 egy  1  6 19  6 31 300 392 601 737   1   0   96   0   0   0   0   2   0   0   0   0   0   0
C_Eaglesham   23 egy  1  7 19  4 15 580 681 256 465   1   0   93   0   0   0   0   4   0   0   0   0   0   0
Q_Tertzakian  22 nzl  1  9 19  3 21 750 383 664 125   4   0  378   0   0   0   1   4   2   1   0   0   0   0
L_Mauger      22 den  1  3 19  8 20 355 366 177 187   2   0  187   0   0   0   0   3   1   0   1   0   0   0
W_Zormi       29 jap  3  6 11 21 22 660 314 382 225   3   0  283   0   0   0   1   1   4   2   0   2   0   0
R_Zikos       23 gre  1  6 10 21 20 300 295 465 520   5   0  474   0   0   0   1   5  13   1   2   2   0   0
Y_Hetland     28 nir  1  2 11 21 44 300 604 642 475   4   0  378   0   0   0   0   4  16   2   0   0   0   0
Y_Koski       28 nig  2  4 13 20 17 300 224 609  18   0   0    0   0   0   0   0   0   0   0   0   0   0   0
