Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Bellin      21 arg 17  1  1  1 15 718 390 390 390   2   0  108   0  10   2   0   0   0   0   0   0   0   0
G_Dankel      16 rsa 15  1  1  1 63 335 300 300 300  14   1 1324   0  54  17   0   0   0   0   0   2   0   0
S_Harsh       21 nir  1 19  5  3 11 390 215 486 320  15   0 1422   1   0   0  12   8   2   1   1   2   0   0
P_Thedans     21 aus  1 19  5  3 15 300 728 462 144  14   0 1267   2   0   0  15   5   5   0   0   2   4   0
F_Deveron     20 spa  1 18  2  2 22 390 257 719 991   7   0  639   0   0   0   4   0   1   0   0   0   0   0
T_Verminski   20 rus  1 17  8  4 48 390 947 825 748   4   3  204   0   0   0   1   0   2   1   0   2   0   0
P_Roadarmer   19 bel  1 17 11  2 18 390 776 134 797   8   1  751   1   0   0   9   2   2   0   1   0   0   0
F_Sanko       17 rsa  1 16  2 15 15 300 309 597 965  15   0 1432   1   0   0  13   1   7   1   0   2   0   0
T_Valade      16 cam  1 15  5  5 12 300 362 734 850  13   0 1160   2   0   0  12   6   5   1   0   0   0   0
S_Maziero     21 ita  1  5 19  3  8 480  27 366 571  14   0 1297   2   0   0   3  30   4   1   2   0   0   0
D_Melching    18 cam  1  7 17  4 15 390 786 205 148   1   1   40   0   0   0   0   1   0   0   1   0   0   0
W_Lambdin     18 cam  1  9 16  4 40 300 576 997 621   3   1  213   0   0   0   1   1   1   0   0   0   0   0
H_Spencer     17 sco  4 14 16 13 27 300 574 979 594   7   0  663   0   0   0   1  14   4   1   1   0   0   0
I_Smaill      18 wal  1  7 16  2 12 300 751  77 753   3   1  176   0   0   0   0   2   0   0   0   0   0   0
N_Dannels     17 rsa  1  8 16  7 29 300 152  44 852   5   1  312   0   0   0   1   5   2   1   0   0   0   0
P_Okon        16 aus  1  4 15  4 40 300 317 441 906  15   0 1432   0   0   0   2  22   3   0   3   4   0   0
P_Kiggan      21 hol  1  2  5 19 29 390 720  99 401  15   0 1432   0   0   0   0   3  28   5   0   2   0   0
L_Shepler     20 nir  1  5  4 18 39 390 584 388 543   9   0  790   0   0   0   0   1  19   1   0   2   0   0
P_Whitener    20 sco  1  5  3 18 14 390 823 227 355   7   1  642   0   0   0   3   1  11   3   0   0   0   0
O_Florin      18 arg  1  9  2 17 50 390  42 924 423   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Soderqvist  18 swe  1  8  2 17 21 355  85 150 119   0   0    0   0   0   0   0   0   0   0   0   0   0   0
