Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
R_Dasayev     25 rus 23  1  1  1 15 551 300 300 480   5   0  472   0  34  20   0   0   0   0   0   0   0   0
Z_Oki         28 jap 20  1  1  1 34 160 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Milk_Beast    30 wal 18  1  1  1 16 806 300 300 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Lawton      28 eng  7 25 11  6 33 300 873 776 302   5   0  472   0   0   0  11   6   3   0   0   0   0   0
M_Franzke     26 ger  2 23 16 15 26 300  83 948 965   5   0  472   0   0   0   6   5   6   0   0   0   0   0
I_Ford        25 nir  7 22 17 14 17 300 309 709 533   5   0  472   0   0   0   3   6   6   1   0   2   0   0
L_Sparks      32 wal  2 21 13  4 49 500 325 845 196   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Fingle      23 nir  5 21 13  8 13 300 107  51 921   5   0  472   1   0   0  10   3   7   1   0   2   0   0
A_Ameirin     25 geo  9 19  6  4 34 300 979 298 207   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Futcher     30 ger  3 21 25 18 33 300 400 480 356   5   0  472   0   0   0   5  15  13   0   0   0   0   0
S_Paule       30 por  1 16 23 16 27 300 993 363 979   5   0  472   0   0   0   0  11   4   1   0   0   0   0
R_Eulitz      25 spa  1  3 22 14 70 300 881 478 593   5   0  409   0   0   0   0   8   8   1   1   0   0   0
E_Mcgarvey    33 IRE  1 14 22 14 45 300   1 652 332   5   0  472   0   0   0   2   8   3   0   0   0   0   0
E_Goeden      27 bel  1  3 20 14 60 300  48 450 850   1   1   63   0   0   0   0   1   2   0   0   2   0   0
R_Lott        25 usa  1 13 19  7 47 300 370 190 173   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Rabidoggovic  24 por  1  4 19 13 32 300 952 758 644   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Corriea     26 bra  1  5 18 17  9 300 898 374 907   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Ivero       27 ita  1  4 15 23 38 300 832 898  89   5   0  472   1   0   0   1   6  17   1   1   0   0   0
E_Juarez      25 mex  1  7 14 20 31 300 296 687 161   5   0  472   0   0   0   1   5  12   0   0   0   0   0
Chebli_Stonk  22 kor  1  2 15 19 23 300 723 382 424   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Shakarakiak   22 cze  1  6  4 18 43 300 326 582 365   0   0    0   0   0   0   0   0   0   0   0   0   0   0
