Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_McCreery    21 sco 20  1  1  1 49 698 300 300 300  10   0  929   1  34  10   0   0   0   0   0   0   0   0
C_Krapulus    20 kor 16  1  1  1 13 475 300 300 300   1   1   21   0   0   0   0   0   0   0   0   0   0   0
Pishnub       18 jap 16  1  1  1 45 855 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Slimpgut      17 rus 15  1  1  1 29 835 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Rehel       21 hol  1 18  3  4  8 300 734 347 312  10   0  950   0   0   0  12   3   7   1   0   0   0   0
S_Serra       20 ita  1 18  6  3 37 300 131 597 222  10   0  950   0   0   0  10   8   6   2   1   0   0   0
No_Huan       21 jap  1 17  5  4 48 300 602 540 522   9   0  837   0   0   0   6   9   5   0   0  10   0   0
N_Ciszek      19 rus  1 17  5  6 21 300 564  30 542  10   0  950   1   0   0  13   4  11   2   0   0   0   0
E_McNesby     18 ire  1 15  5  5 18 300 725 328 932   1   0   93   0   0   0   0   1   0   0   0   2   0   0
A_Saussy      17 rsa  1 14  3  5 23 300 689 428 519   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Barbaro     16 uru  1 13  4  4 12 300 905 900 384   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Saurbaugh   16 bel  1 13 10  8 10 300 671 410 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Schnell     21 ger  2  7 20  9 10 300 432 948 658  10   0  950   2   0   0   3  18  14   5   0   0   0   0
Son_of_Pog    18 kor  1  4 18  3 40 300 410 587 512   9   0  835   0   0   0   2   9   3   0   0  12   0   0
M_Chefrau     21 ita  1  4 17  2 13 300  10 975 876  10   0  950   0   0   0   0  15   3   0   3   0   0   0
P_McCurrey    21 ire  1  5 17  3 16 300 610 606 695  10   0  950   0   0   0   0  15   5   0   3   0   0   0
I_McCure      20 nir  1  3 16  3 15 300 677 964 158   1   0   94   0   0   0   0   2   2   0   0   0   0   0
Minigit       17 swe  1  6 15  2 38 300 329 826  27   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Scanlon     21 usa  1  4 17 20 17 500 461 311 639  10   0  950   0   0   0   0  11  39   2   1   0   0   0
Lemming_Jnr   19 nir  1 11 16 18 22 300 518 652 977  10   0  950   3   0   0   7  12  45   8   1   2   0   0
Pish          18 jap  1  3  7 16  8 300 725 502 221   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Gadous      18 egy  1  6  8 15 13 300 852 701 712   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Hallstead   17 nir  1  2  7 15 29 300 416 130 492   0   0    0   0   0   0   0   0   0   0   0   0   0   0
