Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Tortosa     26 uru 25  1  1  1 33 863 300 300 300   5   0  473   0  34  13   0   0   0   0   0   0   0   0
T_Lee         24 kor 23  1  1  1 25 437 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Perez       23 uru 21  1  1  1 32 396 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Skraedder   27 swe 19  1  1  1 13 722 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Onopko      22 rus 19  1  1  1 25 542 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Federici    29 cro  4 24  3  3 29 300 237 771 586   5   0  473   1   0   0  11   2   2   0   1   0   0   0
N_Blos        22 por  9 21 14  3 21 300 875 292 875   5   0  473   0   0   0   4   4   2   1   1   2   0   0
J_Vranjes     22 cro  1 20  5  6 29 300 893 482 233   5   0  473   0   0   0   8   1   3   0   0   2   0   0
G_Ryder       28 sco  2 20 16 13 25 300 679 590 191   5   0  473   0   0   0   4   5   3   0   1   2   0   0
V_Frappier    25 bel  1 18 11  4 17 300 817  72 107   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Van_Geelen  25 hol  1 18  9  7 20 300 553  25 301   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Varasi      32 geo  1  1 23  4 22 300 686  66 158   4   0  274   0   0   0   0  10   0   0   1   0   0   0
B_Weishaupt   32 ger  2  9 22  1 26 300 696 475 672   4   0  378   0   0   0   1   4   1   0   0   2   0   0
P_Galifi      28 egy  4 11 22 13 38 300 157 213 266   4   0  380   1   0   0   6  10   5   2   2   2   0   0
K_Ljubicic    24 cro  1  4 20  4 16 300 566 662 978   5   1  409   0   0   0   0   9   3   0   1   0   0   0
U_Dierdorf    27 ger  1  4 20  4  8 300 526 194  22   2   0  157   0   0   0   1   2   0   0   0   2   0   0
K_Guckes      24 spa  1  3 20  5 21 300 828 451 660   5   3  294   0   0   0   0   7   0   0   0   2   0   0
T_Vonbrendel  23 ger  3  5  8 21 27 300 342 300 799   4   0  259   0   0   0   1   1   7   0   0   0   0   0
C_Clow        33 BEL  1  4  9 21 19 300 265 890 434   4   0  271   0   0   0   0   1  11   1   0   0   0   0
A_Pallis      25 gre  1  1  6 20 23 300 308 566 992   2   1  121   0   0   0   0   0   4   1   0   0   0   0
Aidriano      28 bra  1  3 10 20 20 390 242 919 708   5   4  214   0   0   0   0   0   5   2   0   0   0   0
F_Dornis      25 jap  1  3  9 19 12 300 688 843 810   3   3   81   0   0   0   0   0   2   1   0   0   0   0
