Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Muir        24 sco 23  1  1  1 11 808 300 390 300   9   0  853   0  40  12   0   0   0   0   0   0   0   0
M_Antolovic   25 cro 18  1  1  1 55 621 300 480 330   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Krueger     22 usa 16  1  1  1 22 218 300 300 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Paxton      27 nzl  8 22  6  3 45 300 341 441 171   9   0  821   0   0   0  11   2   2   0   0   4   0   0
Y_Guilbeau    26 cam  8 21 18  4 13 300 872 356 582   9   0  853   2   0   0  14   9   4   0   1   0   0   0
L_Wojtecki    23 geo  4 21  7  6 23 300 593 598 323   6   1  413   0   0   0   4   3   2   0   0   0   0   0
H_Lavrinenko  26 rus  8 21 15 10 25 300 798 646 475   3   0  214   1   0   0   3   1   1   0   0   0   0   0
J_Backus      22 cam  1 20 16 15 62 300 788 791 471   6   0  521   0   0   0   4   3   8   0   0  10   0   0
B_Sticken     24 den  1 18  3  3 50 300 308 609 466   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Caldararo   23 uru  1 17  7  3 16 300 165 842 901   1   1   90   0   0   0   0   0   0   0   0   0   0   0
E_Sindhom     25 egy  5 16 22 16 15 300 804 119 680   9   0  810   1   0   0   8  11   7   1   4   2   0   0
W_Camona      23 egy  6 14 21 16 39 300  48 892 397   9   0  853   0   0   0   4  15  13   2   1   2   0   0
E_Sinicropi   26 ita  9 16 21 11 28 300 419 664 979   8   0  676   1   0   0   6  17   6   0   1   2   0   0
B_Gallup      22 cam  3  9 21 12 29 300 477 445 405   4   1  276   0   0   0   4   4   1   0   0   2   0   0
P_Noller      23 nzl  2  9 21 15 27 300 454  92 654   9   1  799   0   0   0   1  13  10   4   2   2   0   0
C_Lopez       28 arg  4  8 19  2 28 300  39 776 455   6   1  505   0   0   0   0   4   2   0   0   0   0   0
S_Grolemund   25 den  1  4 17  3 12 300 940 931 128   1   1   51   0   0   0   1   1   0   0   0   0   0   0
G_Salzer      32 AUS  4 12 18 27 18 300  81 593  23   9   1  766   0   0   0   1   5  30   3   0   2   0   0
G_Rodrigues   25 spa  5  7 14 22 17 300 297 357 469   1   0   54   0   0   0   0   0   1   0   0   0   2   0
G_Dodd        21 sco  1 15 15 19 29 300 514 550 930   7   4  399   0   0   0   3   4  16   2   0   0   0   0
