Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Cipollino   25 ita 24  1  1  1 24 711 300 300 300   5   0  501   1  36   8   0   0   0   0   0   0   0   0
D_Ellis       24 eng 21  1  1  1 48 329 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Enoza       30 kor 20  1  1  1 19 413 320 300 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Folha       31 por  2 25 13  5 24 370 579 979 925   5   0  501   0   0   0   9   8   5   1   0   2   0   0
G_Sweeney     23 eng  6 24 14  6 56 300 270 586 447   5   0  501   0   0   0   8   4   3   1   0   4   0   0
D_Brien       33 USA  3 24  4  4 21 480 724 864 174   3   1  249   0   0   0   5   0   0   0   0   0   0   0
C_Baradez     25 mex  6 22 16  2 20 300 856 378 977   5   0  340   0   0   0  12   6   0   0   1   2   0   0
E_Pietras     24 geo  1 22 12  5 40 300  63 889 270   5   4  222   0   0   0   2   3   0   0   0   0   0   0
R_Nilsson     19 cze  7 21 12  5 38 300 842 487 434   3   0  315   1   0   0   4   2   3   1   0   0   0   0
E_Costi       28 gre  2 21 11  5  6 300 866 155 654   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Taylo       25 spa  7 20 13  4 33 300 492 402 343   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Chegwin     22 eng  1 19  6  6  8 300 217 479 855   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Soto        25 nig  1  4 25 15 34 500 871 465 612   5   0  394   0   0   0   1   8   9   2   2   0   0   0
U_Shota       30 geo  1 10 23 17 14 300  38 789 259   5   5  167   0   0   0   0   6   3   0   1   0   0   0
M_Lathwell    23 eng  1  2 22 10 17 300 935 395 893   4   0  317   0   0   0   1   9   2   0   0   0   0   0
D_Dowicz      22 rsa  5 15 21 15 27 300 528 245 680   5   0  501   0   0   0   2  12   3   1   1   2   0   0
M_Cakelele    26 fra  1 14 20  3 21 300 320 601 820   1   0  124   0   0   0   0   1   1   0   0   0   0   0
Mojo_Risin    22 aus  1  3 20  7 24 300 658 545  40   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Lefferts    32 bel  1 11 13 27 39 300 900 522 298   5   1  435   0   0   0   2   5  20   2   0   0   0   0
J_Walker      24 ita  1  1 16 25 12 300 477 650 743   5   0  443   1   0   0   0  12  19   4   1   0   0   0
S_Walker      21 mex  1  4 16 23 24 300 156 887 598   5   0  501   0   0   0   0   8  26   3   1   0   0   0
W_Cure        24 aus  1  9  6 18 42 300  28 581 337   0   0    0   0   0   0   0   0   0   0   0   0   0   0
