Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Moguff      20 den 21  1  1  1 29 105 300 300 300   4   0  373   0  24   6   0   0   0   0   0   0   0   0
Y_Chemlhp     21 kor 17  1  1  1 18 413 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Renzella    20 arg 16  1  1  1 17 501 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Rudder      20 hol  1 20 16  7 26 300 166  48 737   4   0  373   0   0   0   5   4   2   0   0   2   0   0
P_Blondeaux   21 fra  1 18  3  2 15 300 980   1 742   4   0  373   0   0   0   9   1   0   0   0   0   0   0
Q_Pioletti    17 arg  1 15  4  6 23 300 567 830 322   4   0  262   1   0   0   7   0   2   0   0   2   1   0
J_Galford     17 aus  1 15  3  4 32 300  65 315 306   4   4  111   0   0   0   1   1   0   0   0   2   0   0
D_Antoniou    17 bel  1 14  2  2 12 300 503 807 765   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Popescu       16 rsa  1 14 13  5 12 300 631 333 353   4   0  373   1   0   0   6   2   3   1   0   0   0   0
C_Findler     20 nir  1  5 19 15 14 300 771 921 245   4   0  373   0   0   0   2   4   4   0   0   0   0   0
Q_Shuldheisz  20 cro  1  3 19  4 20 300 701 391 446   4   0  373   0   0   0   0   8   3   1   0   0   0   0
D_Rashid      20 wal  1  4 17  8 31 300 314 453 183   4   4   64   0   0   0   0   2   0   0   1   0   0   0
E_Heddle      20 aus  1  9 16  6 25 300 703 257 398   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Medearis    18 bra  1  3 15  2 12 300 808 835  60   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Rhyne       19 bra  1  6 15  4 17 300 818 410 904   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Pippin      18 jap  1  2 15  3 28 300 467 399 244   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Cochanour   17 gre  1  5 14  3 22 300 472 780 202   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Lars_R-Fish   16 rsa  1  4 14 12 10 300 631 572 640   4   0  373   0   0   0   0   7   5   0   0   0   0   0
Marc_Degryse  16 bel  1  6 14  7 30 300 371 498 302   4   0  309   0   0   0   0   6   1   0   1   4   0   0
A_Magennis    16 ire  1  8 13  8 17 300 240 495 460   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Fecho       21 nzl  1  4  4 17 10 630 364 827 993   4   0  329   0   0   0   1   0   9   1   0   0   0   0
X_Intrieri    19 uru  1 13  3 17 29 300 817 381 870   4   0  373   0   0   0   1   1  10   2   0   0   0   0
S_Orand       19 kor  1  2  2 17 45 300 679 793 421   4   4   44   0   0   0   0   0   1   0   0   0   0   0
J_Boner       19 ire  1  5  7 17 11 300 350 238 219   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Pippio      18 uru  1  7  1 15  9 300 960 994 350   0   0    0   0   0   0   0   0   0   0   0   0   0   0
