Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Y_Dickerson   30 nig 23  1  1  1 23 355 300 300 300  11   0 1068   0  58  12   0   0   0   0   0   0   0   0
S_Stolle      26 sco 18  1  1  1 34 510 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Rumsam      24 gre 16  1  1  1 15 524 300 300 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Spicer      26 wal  2 23 16 12 19 300 423 107 815  11   0 1068   3   0   0  19  11  19   4   1   0   0   0
D_Glanz       24 ger  9 22 11  8 60 300 521 321 277   4   0  287   0   0   0   4   0   4   0   0   2   0   0
P_Coffeen     28 nzl  1 21  4  8 12 300 771 300 665   7   7  252   0   0   0   6   0   0   0   0   0   0   0
L_Hottinger   25 nzl  1 20  4  4 21 585 896 469 936   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Zerbel      26 arg  4 20 17 16 35 300 603 687 273  11   0 1068   2   0   0  19  15  15   2   2   2   0   0
B_Meetze      27 hol  1 20 14  5 28 390 930 726 777  11   4  617   0   0   0  14   7   5   1   1   2   0   0
J_Coelho      25 por  1 19  5  5 70 480 398 321 537   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Lim_Saeng   28 kor  1 19  8  3 39 480 920 248 764   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_D'Wan       24 geo  1 19  3  7 12 300 711 459 703   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Archimedes    23 gre  1 19 17 13 40 480 369 284 433  11   0  980   0   0   0   8  21  16   3   1   2   0   0
A_Ansell      22 geo  6 19  6 16 12 500 538 619 977   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Fey         29 egy  1  6 24  2 18 500 754 909 592  11   0 1063   0   0   0   2  19   5   0   4   4   0   0
D_Irizarry    27 usa  1 15 20  8 33 300 647 816 775  11   0 1068   0   0   0   8  18   8   0   1   0   0   0
Q_Oki         26 jap  1  3 20 16 42 300 812  66 345  11   0 1068   1   0   0   3  23  31   5   2   2   0   0
J_Summer      23 eng  2  4 19  9 26 300 329 403 510  11   9  325   0   0   0   1   9   5   0   2   0   0   0
E_El-Hadary   26 egy  4  6 19  4 44 300 469  89  97   2   2   36   0   0   0   1   1   0   0   1   0   0   0
K_Trepanier   27 ita  3  4  8 23 11 300 584 716 932  11   0 1068   0   0   0   1   8  47   7   0   2   0   0
E_Abdelghani  31 egy  1  1  9 22 30 300 600 873 256  11  11  208   0   0   0   0   4   9   3   1   0   0   0
O_Coentrao    27 por  1  3 12 21 24 300 810 294 273  11   0  860   0   0   0   2   5  34   1   0   0   0   0
I_Scorem      28 por  2  3  5 20 14 300 399 199 251   0   0    0   0   0   0   0   0   0   0   0   0   0   0
