Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Gibson      19 wal 21  1  1  1 29 449 300 300 300  16   0 1526   0  47  20   0   0   0   0   0   2   0   0
P_Medici      17 spa 16  1  1  1 28 190 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Bodell      17 ire 15  1  1  1 16 305 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Bester      20 nig  1 19  3  4 16 480 578 608  38  16   0 1526   1   0   0  19   4   5   0   0   0   0   0
G_C_Moore     19 wal  3 19 16 14 30 300 720  74  98  16   0 1525   4   0   0  24  17  37   4   3   0   0   0
R_Thead       20 sco  1 18  6  5 18 300 462 564 601  13   0 1127   0   0   0   5   7   3   1   2   0   0   0
P_Kibodeaux   20 bel  1 17  3  4 12 300 555 647 327  16   0 1526   1   0   0  13   2   4   0   0   0   0   0
X_Hempstead   19 aus  1 17  5  2 19 300 310 571 573   4   0  385   0   0   0   8   3   3   1   0   2   0   0
R_Axson       21 jap  1 16  3  9 14 300 850 207 360   7   1  667   0   0   0  10   2   6   1   1   0   0   0
P_Sincoskie   17 rus  1 16  4  5 52 300 276  78  55   1   1   16   0   0   0   0   0   0   0   0   0   0   0
M_Whiffen     18 nig  1 15  3  3 28 300 288 156 676   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Flehmig     17 rus  1 15  9  5 59 300 150 867 845   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Weichbrodt  21 ger  1 11 20  3 52 300 425 139 861  16   0 1526   2   0   0   9  33   9   2   2   8   0   0
F_Kubecheck   21 cze  1  4 18 12 17 400 334 636  58  16   0 1526   1   0   0   2  20  17   2   1   0   0   0
P_Gawthrop    21 sco  1  4 18 10  8 300 893 419 449  15   0 1379   1   0   0   1  24  14   2   2   0   0   0
P_Yesersky    18 jap  1  2 17  7 21 300 182 851 241  13   2  959   0   0   0   0  14   4   0   2   0   0   0
I_Godard      17 nzl  1  2 16  2 31 300 278  68 250   2   2   71   0   0   0   0   3   0   0   0   2   0   0
L_Roark       17 nir  1  1 15  6 41 300 574 468 809   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Annis       17 uru  1  1 15  8 13 300 821 139 578   1   0   98   0   0   0   0   0   0   0   0   0   0   0
T_Roady       17 kor  1  2 15  2 26 300 290  14  94   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Delmore     19 hol  1  5 10 19  8 300 327 317 835  16   0 1504   1   0   0   2   6  35   7   0   0   0   0
N_Morton      20 eng  1  3  5 19 33 300 222 664  52  16   0 1526   1   0   0   0   3  41   5   0   4   0   0
K_Ellingson   19 swe  1  2 11 17 22 300 531 644 233  11   6  567   0   0   0   0   2  15   1   0   2   0   0
X_Cichon      19 bel  1 10  3 17  8 300 606 588 167   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Jeffrey     19 aus  1  3  4 17 26 300 117 594 105   0   0    0   0   0   0   0   0   0   0   0   0   0   0
