Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Helms       18 ger 16  1  1  1  9 983 300 300 300   5   0  477   0  18   6   0   0   0   0   0   0   0   0
Q_Flowers     18 eng 16  1  1  1 58 827 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Bonnette    16 mex 14  1  1  1 62 652 300 300 300   1   0   95   0   2   3   0   0   0   0   0   0   0   0
B_Lasham      20 ire  1 18  6  5 16 300 285 380 231   6   1  510   0   0   0   8   7   2   0   0   0   0   0
X_Pawling     21 den  1 17  3  8 31 300 600 927 793   3   1  163   0   0   0   1   0   1   0   0   0   0   0
S_Drye        19 nzl  1 17  4  4 50 300 949  53 190   4   2  300   0   0   0   0   0   1   0   0   0   0   0
P_Tinley      18 usa  1 17  5  2  8 300  78 300 486   4   0  346   0   0   0   3   0   2   0   0   2   0   0
P_Levanda     17 por  1 15  4  8  9 300 617 778 837   3   0  209   0   0   0   2   0   1   0   0   0   0   0
A_Pilbean     17 usa  1 15  7  2 37 300 557 165 838   6   0  572   0   0   0   2   1   1   1   0   0   0   0
T_A_Raszwolaz 16 swe  1 14 10  1 12 300 571 352 853   5   0  472   0   0   0   2   2   0   0   1  10   0   0
A_Runner      19 cam  1  6 17  5  8 300 877 991 266   6   0  484   0   0   0   1   4   3   0   0   0   0   0
O_Nevens      19 cze  1  2 16  8 10 300 295 547 328   4   2  269   0   0   0   0   4   3   1   0   0   0   0
U_Kettner     19 cro  1  4 16  2 14 300 691 724 686   3   1  141   0   0   0   0   3   1   0   0   2   0   0
J_Glasbey     18 rus  1  2 15  3 21 300 489 929 947   2   1   90   0   0   0   0   3   0   0   1   0   0   0
I_Smaill      17 wal  1  6 14  1 12 300 982 551 986   4   0  330   0   0   0   0   3   0   0   0   0   0   0
G_Smucker     16 rus  1  3 13  2  9 300 313 418 390   3   2  201   0   0   0   0   4   0   0   0   0   0   0
Q_Bolbat      16 bra  1  7 13  1 18 300 422 762 551   3   0  284   0   0   0   1   1   0   0   0   0   0   0
L_Nehring     20 den  1  3  7 18 11 300 202 281 936   2   0  119   0   0   0   0   0   1   0   0   0   2   0
Renato_Cesar  19 uru  1  4  5 18 33 300 541 779 211   4   2  254   0   0   0   1   1   6   0   0   0   0   0
O_Kunzi       21 cro  1  5  3 17 10 300 246 219 367   1   1   74   0   0   0   0   0   0   0   0   0   0   0
T_Thew        21 wal  1  2  2 17 11 300 864 619 783   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Dillinger   17 nzl  1  4 11 14 38 300 448 346 676   4   0  321   1   0   0   2   3   9   1   0  10   0   1
