Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Tooles      19 spa 18  1  1  1 19 441 300 300 300   4   0  378   1  12   2   0   0   0   0   0   0   0   0
R_McGlinchey  19 sco 17  1  1  1 57 285 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Oranday     17 cze 14  1  1  1  8 677 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Depp        21 egy  1 19  3 14 17 300 411 257 565   4   0  378   0   0   0   4   1   2   0   0   0   0   0
A_Wible       19 arg  1 17  7  8 64 300 742 687 596   3   0  263   1   0   0   3   2   2   0   0  10   0   0
C_Meixner     18 mex  1 16  3  1 10 300 761 994 814   4   0  335   0   0   0   6   2   0   0   0   0   0   0
I_Kloepfel    18 geo  1 16  3  5 35 300 561 341  19   4   0  289   0   0   0   3   0   0   0   0   0   0   0
C_Halfpenny   18 ire  1 16  3  7 17 300 384 405 276   4   3  111   0   0   0   1   1   0   0   0   0   1   0
U_Abounader   17 nig  1 15  6  5 12 300 442 703 225   4   1  334   0   0   0   4   1   0   0   0   0   0   0
Y_Bontempi    17 arg  1 14  9  3 14 300 542 809 829   3   3   67   0   0   0   3   0   0   0   0   0   0   0
B_Skremgeour  17 swe  1 14  7  1 23 300 483 934 917   1   1   51   0   0   0   1   0   0   0   0   0   0   0
V_Gancarz     16 cze  1 14 13  6 48 300 777 260 328   1   0   44   0   0   0   0   0   0   0   0   0   3   0
H_McLeman     20 nzl  1  4 18  3 18 300 212 452 736   4   0  378   0   0   0   1   2   1   0   0   2   0   0
P_Cocu        20 hol  1  4 17  3 47 300 457 988 428   4   0  378   0   0   0   0   5   0   0   0   0   0   0
O_Slizowski   18 rus  1  4 16  2  8 300 974 142 485   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Abdulla     16 egy  1  5 13  6 39 300 305 448 250   4   0  378   0   0   0   0   5   2   0   0   0   0   0
P_Deegan      21 ire  1 11  6 20  9 300 846 469 332   4   0  378   0   0   0   0   1   8   2   0   0   0   0
P_Boccardo    19 bra  1  2  4 18 18 300 273 447  48   2   0  124   0   0   0   0   1   2   0   0  10   0   0
M_McKelduff   20 sco  1  7  2 17 23 300 982 919 323   2   0  118   0   0   0   0   0   4   0   0   0   0   0
I_Dieke       18 ger  1  6  6 16 56 300 468 310 795   3   3   89   0   0   0   0   1   2   1   0   0   0   0
V_Shurhake    19 rus  1  3  7 16 20 300 318 110 708   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Ladda       18 bra  1  8  5 16 13 300 255 750 324   0   0    0   0   0   0   0   0   0   0   0   0   0   0
