Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Herrell     28 por 25  1  1  1 33  18 300 300 300  10   0  909   0  70  11   0   0   0   0   0   0   0   0
F_Stoeber     24 ger 21  1  1  1 14 562 660 490 570   1   1   38   0   1   0   0   0   0   0   0   0   0   0
T_Folha       30 por  2 26 14  6 24 370 229 788 901  10   0  947   1   0   0  18  11  10   0   1   2   0   0
U_Finnie      21 wal  1 26 13  6 14 300 138 670 386   9   0  853   1   0   0  16   6   7   0   0   0   0   0
I_Mellors     29 aus  6 26 15 11 16 500  99 805  25  10   0  947   2   0   0  20  13   7   0   1   2   0   0
P_Calandra    27 aus  8 24 15 15 36 300 542 499 467   5   0  472   0   0   0   5   6   8   0   0   2   0   0
W_Greer       22 aus  4 22 12  7 27 300 710 498 399   5   0  477   0   0   0   4   1   4   0   1   0   0   0
E_Costi       27 gre  2 21 11  5  6 300 812 155 654   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Selves      20 spa  1 19  5  5 52 300 334 110 250   2   0  187   0   0   0   1   0   3   0   0   2   0   0
B_Goss        30 nzl  4 19 26 17 13 300 993 478 237  10   0  947   1   0   0   9  23  25   3   1   2   0   0
H_Kwein       29 jap  1  6 24  9 30 390 302  64 157   9   0  803   0   0   0   1   8   6   1   0   4   0   0
B_En'o        26 nig  5 11 23 15 39 810 386 424 274  10   0  947   1   0   0   3  25   9   2   0   2   0   0
U_El-Sakka    25 egy  6 10 22  6 28 300 640 625 349   9   0  854   0   0   0   3  15   3   0   1   0   0   0
T_Goho        26 jap  1  3 18  4 25 660 848 238 287   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Griek       26 hol  1  3 18  2 24 300 726 611 505   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Hollus      28 egy  8  9 12 25 11 300 792 766 159  10   0  947   0   0   0   4   3  37   5   0   0   0   0
Koothrappali  25 sco  3  7 16 23 27 570  68 569 107   8   0  709   0   0   0   1   6  15   1   0  10   0   0
T_Catts       21 nzl  1  2  8 20 25 300 862 755 798   2   0  187   0   0   0   0   0   4   0   0   2   0   0
O_Beebee      20 swe  1  7  5 19 38 300 562 293 298   0   0    0   0   0   0   0   0   0   0   0   0   0   0
