Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Ranzzi      31 bra 28  1  1  1 56 848 300 300 300  15   0 1429   0  89  29   0   0   0   0   0   4   0   0
O_Gabelia     24 geo 21  1  1  1 18 289 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Dilkes      26 aus 19  1  1  1 26 626 415 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Tchameni    28 cam  2 28 16  6 22 300 623 948 939  15   0 1429   2   0   0  30  17   8   0   3   4   0   0
D_Grebeshkov  29 rus  7 27 11  5 23 300 155 938  13  14   1  961   0   0   0  11   3   2   0   0  10   0   0
A_Magallon    31 mex  7 26 20  4 18 300 693 952 292  15   0 1361   0   0   0  14  19   3   0   0   4   0   0
K_Vizirov     29 geo  4 25 14  7 35 300 635 889 223  15   5  944   0   0   0  10  10   4   0   1   4   0   0
M_Furst       32 ire  4 23  8  2 36 300 258 176 229   9   8  260   0   0   0   0   2   0   0   0   4   0   0
H_Ramzy       20 egy  4 21 18  6 16 300 768 330 305  15   2 1296   0   0   0  21  13   4   0   1   2   0   0
P_Tomke       26 ita  1 18  5 10  9 300 778 400 621   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Skoog       27 swe  1 18  3  9 41 300 362 685 693   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Zidlicky    29 cze  1  1 29 14 10 300 656 237 237  15   0 1429   2   0   0   1  21  14   2   1   2   0   0
T_Orbelianov  28 geo  5  7 27 17 19 300 309 285 772  14   0 1240   0   0   0   3  21  20   4   3   2   0   0
H_Vincent     33 CAM  6 13 23 15 38 300 962 122 471  14   5  900   0   0   0   4  13   8   2   1  12   0   0
A_Mostovoi    19 rus  3 15 21 18 16 300  81 495 532  15   1 1287   1   0   0   4  17  19   6   2   0   0   0
S_Bullifant   23 geo  1  5 19  9 25 750 469 460 423   2   2  123   0   0   0   1   2   3   1   0   0   0   0
D_Brocaw      24 eng  1  9 17  3 16 300 415 545 861   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Ely         23 sco  1  3 17  5 17 300 183 786 315   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Vasata      31 cze  1  2 11 24 40 300 645 331 641  15  10  723   1   0   0   0   7  22   5   0   0   0   0
N_Villalobo   22 uru  3  6 15 23 11 300 417 467 272  15   0 1141   0   0   0   0   4  28   1   1   0   0   0
Joao_Pinto    20 por  2  7 17 21 24 300 832 704 864  15   4 1035   0   0   0   1   7  25   4   3   0   0   0
M_Bunis       24 gre  1  2 11 17 14 300 653 171 152   0   0    0   0   0   0   0   0   0   0   0   0   0   0
