Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
X_Dwy         21 jap 17  1  1  1 59 786 390 390 390   8   1  731   0  40  19   0   0   0   0   0   0   0   0
N_Keily       20 nir 17  1  1  1  9 553 490 490 390  10   0  912   0  56  14   0   0   0   0   0   0   0   0
L_Wevers      18 bel 15  1  1  1 43 399 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Navarro     20 spa  1 19  3 10 25 390 314 791 615  14   0 1212   1   0   0  17   3  18   1   0   0   3   0
P_McFrancis   18 nir  1 17  5  2 43 300 947 951 676  16   1 1315   0   0   0  17   3   4   0   0  16   0   0
H_Goggi       18 ita  1 17  2  2 49 300 526 369 131  14   6  768   0   0   0  17   0   1   0   0  12   0   0
D_Blumetti    17 ita  1 17  3  5 25 300 448 430 674  10   0  770   1   0   0  10   3   4   1   0  20   0   0
J_Tevis       20 arg  1 17  3  3 42 300  30 331 239   9   3  750   0   0   0  11   4   2   0   0   4   0   0
K_Laurin      20 jap  1 16  4  6 15 300 298 232 219   4   2  292   0   0   0   5   0   1   0   0   2   0   0
Ollie_Jones   20 eng  1  5 19  4 44 390 333 186 387  16   0 1389   2   0   0   4  40   9   1   3  18   0   0
G_Dennil      18 eng  1  6 17  8 40 300 169 414 217   4   2  244   0   0   0   2   4   1   0   1   0   0   0
N_McMordie    18 ire  1  3 16  6 11 300 702 846 284   5   3  284   0   0   0   1   8   0   0   0   0   0   0
Dani_Costa    17 por  1  3 16  6 60 300 331 653 172  12   3  967   0   0   0   2  23   6   1   1   4   0   0
H_De_Munis    17 hol  1  7 16  2 28 300 158 422 582  13   1 1155   0   0   0   1  23   3   1   2   0   0   0
A_Colley      17 ire  1  3 16  1 27 300 659 146 979   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Dingley     16 eng  1  5 15 10 70 300 817 733 322  15   0 1293   0   0   0   1  25  13   0   3  14   0   0
R_Curtis      19 eng  1  5  5 19 11 390 417 475  67  17   1 1568   1   0   0   5   7  45   6   1   0   0   0
T_Hobber      18 wal  1  2  4 16 42 300 262 259 446   2   0  189   0   0   0   0   0   5   1   0   0   0   0
Simoncelli    17 ita  1  2  2 16 27 300 669 578 495  13   0 1137   0   0   0   2   1  32   5   0  12   0   0
G_Boemelin    16 nig  1  8  3 16 35 300  80 599 245  12   0 1087   0   0   0   4   1  28   3   0   2   0   0
R_Kluckhuhn   17 ger  1  5  2 16 50 300 698 660 170   1   1   52   0   0   0   0   0   0   0   0   0   0   0
