Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
O_Heiden      30 arg 25  1  1  1 10 812 390 390 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Tarquin       20 usa 22  1  1  1 18 669 390 390 390   7   0  661   0  33   9   0   0   0   0   0   0   0   0
N_Rudduck     24 eng 21  1  1  1 56 402 375 375 645   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Diaz        29 mex  9 25  7  3 12 300 477 934 518   7   0  661   0   0   0   9   3   0   0   0   2   0   0
H_Lerner      26 wal  6 24 14  7 23 480 675 756 938   7   0  649   1   0   0  13   9   4   0   1   2   0   0
T_Pratchett   20 usa  1 19  9  4 25 390 534 278 914   3   0  223   0   0   0   2   1   0   0   0   0   3   0
G_Southgate   21 eng  1 19  2  2 10 300 812 877 913   5   1  438   0   0   0   2   0   2   0   0   2   0   0
H_Kerne       30 nig  1 19  7  3 53 315 454 835 982   1   0   92   0   0   0   0   0   0   0   0   0   0   0
W_Huish       22 sco  1 18  3  6 23 300 698  27 815   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Francescoli 23 uru  1 18  6  3 12 300 522 161 212   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_van_Bommel  34 HOL  1  5 23 10 16 300 372 953 229   7   0  661   1   0   0   1  19   8   3   0   0   0   0
L_Sabatini    22 uru  1 11 22 10 47 480 510 366 487   4   0  314   0   0   0   3   9   1   0   2   0   3   0
G_Paule       24 por  1  5 21 12 36 300 202 455 315   2   1  159   0   0   0   1   0   2   1   0   0   0   0
F_Koo         21 kor  8 14 21 13 20 300 889 506 365   7   0  661   1   0   0   4  13  13   2   0   0   0   0
A_Lombardo    21 ita  1  2 20  6 26 300 765 674  74   7   0  598   0   0   0   0  16   2   0   2   0   0   0
P_Kerschner   21 swe  1 13 19  2 76 390 502 273 833   4   0  336   0   0   0   3   7   0   0   0   4   0   0
X_Wagen       23 cam  1  4 19  3 63 365 257 454 803   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Surfroney   23 gre  1  6 19  6 64 390 722 414 961   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Augustson   22 swe  1  7 18  5 33 300 333 611 310   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Owrey       23 gre  1  6 18  3  8 480 724 657 528   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Beck        21 fra  2  2  8 20 25 300 381 399 977   7   0  661   0   0   0   1   3  21   3   0   4   0   0
R_O_Flisty    21 eng  1  4  3 20 55 390  15 951  99   6   0  486   0   0   0   0   1  13   0   0  10   0   1
O_Burras      24 geo  1  4  5 18 30 480 291 210 454   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Santamour   22 por  1  3  3 18 51 390 457 353 797   3   3  135   0   0   0   0   0   4   1   0   0   0   0
V_Burn        23 cze  1  3  5 18 47 300 861 461 266   0   0    0   0   0   0   0   0   0   0   0   0   0   0
