Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Stepney     27 eng 24  1  1  1 29 576 555 925 555   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Burdus      23 egy 23  1  1  1 25 802 300 300 300  19   0 1805   0 113  39   0   0   0   0   0   0   0   0
M_Anslinger   26 usa 19  1  1  1 17  42 365 365 365   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Bagini      27 bra  4 26 19 15 35 760 757 552 222  19   0 1805   1   0   0  31  31  26   3   5   6   0   0
M_Ketchum     29 sco  4 24 18  4 26 300 975 167 976  19   0 1805   1   0   0  30  19   7   1   2   2   0   0
K_Wentworth   32 wal  1 23 13  3 22 300 896 369 731   8   1  602   0   0   0   4   4   3   0   1   0   0   0
H_Dillon      25 nir  7 23  9  4 28 300 709 656 608  16   3 1252   0   0   0  18   4   9   1   0   4   4   0
M_Charisteas  22 gre  9 23 18 10 18 380 973  50 763  18   0 1690   1   0   0  22  21  10   0   5  14   0   0
S_Colladen    30 ger  3 19  2  7 19 300 285 428 627   2   2   77   0   0   0   2   0   0   0   0   0   0   0
G_Gamel       22 por  1 19  5  5 10 480 260 673 702   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Franks      28 aus  2 10 27 11 32 300 115  91 227  18   0 1581   1   0   0   5  24  16   0   4   4   0   0
N_Vaughn      31 nzl  1 19 26 18 31 840  83 221 364  19   0 1805   1   0   0  12  28  33   6   3   4   0   0
T_Ninis       30 gre  4 12 25  8 32 320 618 422 503  19   0 1291   0   0   0   5  30  14   3   3   2   0   0
A_Di_Stefano  33 SPA  1  4 25 15 37 740 277  21 202   4   3  190   0   0   0   0   5   3   1   0   0   0   0
V_Younger     27 usa  1  1 23 11 35 300 512 926 646  16  15  577   0   0   0   1   8   8   0   2   2   0   0
H_Malik       26 egy  5 16 23 16 26 480 442 731 950  19   0 1805   2   0   0  11  37  30   5   1   2   0   0
P_Zeimoto     29 por  2  8 16 28 18 300 968 947  35  18   0 1710   4   0   0   3  16  71  14   1  10   0   0
S_Bajek       31 kor  1  5 16 24 39 590 447 310 565   8   0  747   1   0   0   1   6  29   5   2  10   0   0
L_Lorin       21 fra  1  1  7 22 37 300 232 301 901  11   0 1050   0   0   0   0   4  37   4   1   6   0   0
F_Purkhiser   24 gre  1  3  6 19 15 480  51 334 582   0   0    0   0   0   0   0   0   0   0   0   0   0   0
