Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
U_Greasky     22 rsa 22  1  1  1 25 598 500 500 500   4   0  377   0  23  11   0   0   0   0   0   0   0   0
K_Seguna      21 spa 19  1  1  1 33 849 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Tyner       23 bel 17  1  1  1  9 931 360 360 360   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Oxenrider   24 cam  1 21  7  8 29 400  63 531 864   4   0  377   0   0   0   4   0   4   0   0   2   0   0
S_Celano      28 ita  9 20 12  3 46 500 373 907 735   2   0  150   0   0   0   1   1   0   0   0   0   0   0
E_Pydde       22 kor  1 20 15  3  8 300 950 103 134   4   0  383   0   0   0   3   2   1   0   0   0   0   0
D_Lattig      20 ita  1 19 15  5 33 480 667 409 422   4   0  385   0   0   0   5   5   3   0   1   2   0   0
R_Rasmussen   24 den  1 19 15  7  9 390 714  51  39   4   0  377   0   0   0   7   2   4   1   0   0   0   0
M_Rios        25 mex  4 19 15 12 36 300 822 313 884   2   0  185   1   0   0   4   5   1   0   1   0   0   0
L_Haferland   22 den  1 19  4  3 57 300  28 861 336   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Archimedes    22 gre  1 19 16 13 40 480  88 937 244   4   0  377   0   0   0   2   5   4   0   0   0   0   0
E_Wragg       22 den  1 18 10  3 48 480  89 170 863   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Leyland     26 eng  1  5 21  5 53 300 586 222 854   4   0  377   0   0   0   1  11   3   0   0   0   0   0
Q_Zuniga      21 mex  1  4 20  5 11 480 929 571 723   4   0  377   0   0   0   1   9   4   0   0   0   0   0
A_Smith       24 usa  1  3 20  5 12 300 947 131 568   2   0  138   0   0   0   0   1   2   0   0   0   0   0
U_Terney      20 aus  1  3 20  6  8 560 608  41 718   4   0  385   0   0   0   3  18   7   0   0   0   0   0
A_Landgren    23 swe  1  5 19  9 20 390  99 550 125   2   2   47   0   0   0   0   2   1   0   1   0   0   0
I_Waid        23 rsa  1  3 18  4 11 300 671 516 161   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Olsen       26 den  1  6 18  5 31 300 604 624 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Broggini    24 ita  1 10 18  3 19 300 639 267 326   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Mathen      25 nig  1  9 12 22 29 300 337 435 983   4   0  377   0   0   0   3   2  18   0   0   0   0   0
S_Ruan        25 aus  1  8  4 20 30 300 322 200 338   4   2  225   0   0   0   0   1  10   0   0   0   0   0
I_Klasnic     26 cro  1  3  7 19  9 480 646 700 293   0   0    0   0   0   0   0   0   0   0   0   0   0   0
