Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
I_Dennison    21 bra 18  1  1  1 11  57 720 720 500   4   0  380   0  19   6   0   0   0   0   0   0   0   0
C_McRitchie   19 jap 17  1  1  1 18 811 630 630 410   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Bold        17 nzl 14  1  1  1 49 366 360 360 320   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Lauriat     21 nig  1 19  6  9 10 770 933   4 945   4   0  380   0   0   0   6   1   2   0   0   0   0   0
P_Kessel      21 uru  1 19  5 10 22 500 484 279 168   4   0  380   0   0   0   9   2   5   1   0   0   0   0
P_Kindl       19 spa  1 17  8  5 36 500 475 238 999   4   0  380   0   0   0   8   0   6   1   0   2   0   0
H_Dindane     17 kor  1 15  5  2 22 320 460 966  79   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Dankmyer    16 hol  1 15  7  6 11 320 212 668 326   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Barbieri    16 fra  1 14 12 12  8 320 594 442 349   4   0  380   2   0   0   7   5   3   0   1   0   0   0
H_DeRuine     20 spa  1  5 18  4 18 500 277 581 284   4   0  380   0   0   0   0  13   2   0   0   2   0   0
G_Bithell     19 uru  1  5 18  4  9 500 458 431 506   4   0  311   0   0   0   0   9   2   0   1   0   0   0
V_Boehling    18 ger  1  9 18  2 30 410 302 254 430   4   0  352   1   0   0   5  13   1   1   0   0   0   0
V_Westberry   21 aus  1  3 17  5 12 500 130 119 251   2   2   97   0   0   0   0   0   0   0   0   0   0   0
E_DiFilippo   19 bra  1 10 17  4  9 410 637 619 477   4   0  380   0   0   0   0  11   1   0   1   0   0   0
P_Nicolls     18 nir  1  2 16  6 17 320 810 873 889   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Piombino    18 kor  1  2 16  5 29 410 634 313 929   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Dilsaver    18 por  1  2 15  2 58 410 869 805 695   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Kahl        17 bel  1  7 15  8 30 320 293 618 318   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Bonge       17 kor  1  2 14  3 43 320 425 686 805   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Caligan     16 kor  1  4 13  7 10 320 528 445 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Ferdon      21 ire  1  6  5 17 45 770 878 631 839   4   0  380   0   0   0   0   2  18   2   0   2   0   0
C_Lemar       20 bel  1  3  3 17 22 500 352 109 712   4   1  337   0   0   0   0   0  12   1   0   0   0   0
D_Galofre     17 jap  1  6  8 17 57 320 923 478  67   1   0   43   0   0   0   0   1   0   0   1   0   2   0
F_Gmerek      17 jap  1  2 10 14 56 320 256 780 378   0   0    0   0   0   0   0   0   0   0   0   0   0   0
