Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_DeGenova    21 spa 17  1  1  1 10 455 300 300 300   6   0  571   0  24   6   0   0   0   0   0   0   0   0
P_Wiens       17 rsa 16  1  1  1  8  93 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Bonanno     17 arg 14  1  1  1 15 457 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Zelner      20 spa  1 17  4  2 50 300 813 718 695   6   0  571   0   0   0   3   3   7   0   1   0   0   0
O_Sheldon     20 kor  1 17  3  2 11 300 785 349 561   6   0  571   1   0   0  16   2   3   0   0   0   0   0
I_Shunck      19 hol  1 17  2  2 17 300 506 308 431   6   0  571   0   0   0   7   2   0   0   0   0   0   0
B_Malotelli   19 ita  1 15  3  3 19 300 583 273   5   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Difederico  17 arg  1 15  2  4 25 300 617 868 734   6   0  294   0   0   0   2   0   4   0   0  10   0   1
R_Pierrard    17 bel  1 14  2  3 41 300 728 342 268   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Tithecott   19 spa  1  2 17  2 26 300 416 232 558   6   0  571   0   0   0   1  14   4   0   0   0   0   0
E_McElwee     18 arg  1  2 17  4  8 300 770 115 797   6   0  571   1   0   0   0  11   3   0   1   0   0   0
K_McClasky    19 kor  1  3 17  3 11 300 749  39 779   6   4  389   1   0   0   1  13   1   1   2   0   0   0
I_Schwaner    20 nzl  1  3 16  5 15 300 552 997 366   5   0  336   0   0   0   1   6   8   1   0   2   0   0
J_Klingbeil   17 ger  1  3 16  3 21 300  10 122 880   4   1  200   0   0   0   0   7   1   0   2   0   0   0
U_Blurton     17 ire  1  6 15  6 14 300  19  50 380   5   0  431   0   0   0   1  10   4   0   0   0   0   0
P_Knackley    17 nir  1  4 14 13 68 300 332 685 422   3   0  289   0   0   0   0   5   8   2   0   0   0   0
U_Shearson    20 mex  1  8  3 16 72 300 646 765 505   6   0  571   0   0   0   2   0  31   3   0   4   0   0
Benny_Bull    19 usa  1  2  3 15 56 300  59 260 907   0   0    0   0   0   0   0   0   0   0   0   0   0   0
