Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
R_Stanca      33 rom 14  2  4  6 10 408  86 156 106  11   0  988   1  45  16   0   0   0   0   0   0   0   0 100
C_Tatarusanu  27 rom 14  2  4  6 12 367  91 156 106   1   1   65   0   1   1   0   0   0   0   0   0   0   0 100
V_Cojocaru    17 rom 12  2  4  4 11 287  66 116 106   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Szukala     29 pol  2 12 10  8 10  62 364 278 183  10   0  957   0   0   0   7   8   7   0   0   0   0   0 100
F_Gardos      24 rom  2 12 10  8 10  62 409 277 219  10   0  957   0   0   0   7   6   8   0   0   0   0   0 100
V_Chiriches   23 rom  2 14 11  8 13  62 406 284 202  11   0 1053   1   0   0   9  13   2   0   1   0   0   0  80
D_Bratu       24 rom  2 11 10  8 12  62 291 262 196   1   1   51   0   0   0   0   1   0   0   0   0   0   0 100
I_Latovlevici 27 rom  2 13 11  7 14  62 440 331 188  11   0 1002   1   0   0  14  10   9   0   0   0   0   0  96
V_Lupu        22 rom  2 11 10  8 12  62 286 251 196   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Parvulescu  24 rom  2 12 10  8 11  62 326 246 186   1   0   96   0   0   0   0   0   0   0   0   0   0   0  93
G_Matei       23 rom  2 11  9  8 11  62 286 231 191   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Rapa        23 rom  2 12 10  8 13  62 341 246 201   2   1  127   0   0   0   0   0   0   0   0   0   0   0  93
D_Georgievski 25 mac  2 12 10  8 12  62 350 267 191   1   0   96   0   0   0   1   1   0   0   0   0   0   0  93
M_Pintilii    28 rom  2 10 13  9 13  62 310 406 285  10   0  926   0   0   0   5  10  12   3   0   0   0   0 100
L_Filip       22 rom  2  8 11 10 10  62 196 291 226   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Puscas      19 rom  2  8 10  9 13  62 201 251 216   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Bourceanu   28 rom  2 11 13  8 12  62 329 423 207  10   0  957   0   0   0   6  17   8   0   4   0   0   0 100
A_Prepelita   27 rom  2  9 12  9 11  62 231 332 226   4   2  184   0   0   0   0   1   0   0   0   0   0   0 100
I_Rosu        19 rom  2  8 10  9 11  62 201 251 216   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Tanase      26 rom  2  8 13 11 12  62 176 397 343   9   0  839   1   0   0   0  16   9   3   0   0   0   0 100
G_Iancu       19 rom  2  8 12 10 13  62 206 331 266   1   1   51   0   0   0   0   0   0   0   0   0   0   0 100
A_Chipciu     24 rom  2  8 14 11 12  62 221 410 313  11   0 1053   0   0   0   4   9  14   2   0   8   0   0  80
I_Nastasie    21 rom  2  9 10  9 13  62 211 251 216   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Popa        24 rom  2 10 12  9 12  62 266 336 221   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Tatu        31 bra  2  6 10 12 15  62 186 310 367  10   0  957   0   0   0   5   5  24   2   2   0   0   0 100
R_Rusescu     24 rom  2  7 12 13 12  62 185 332 377   5   0  422   0   0   0   4   5   6   1   1   4   1   0 100
M_Costea      25 rom  2  6 10 12 12  62 189 324 383   7   1  610   0   0   0   2   4  14   1   2   0   0   0  84
S_Nikolic     23 mon  2  6 11 12 13  62 156 291 341   1   0   96   0   0   0   0   0   2   0   0   0   0   0  93
A_Rocha       27 bra  2  6 11 12 11  62 161 286 341   1   0   96   0   0   0   0   0   0   0   0   0   0   0  93
